Date,Open,High,Low,Close,Change,Traded Volume,Turnover,Last Price of the Day,Daily Traded Units,Daily Turnover
2017-08-14,352.75,361.2,351.9,360.3,,6962.0,2494514.0,,,
2017-08-11,350.25,354.85,343.5,353.5,,7386.0,2579410.0,,,
2017-08-10,354.45,354.7,349.5,352.8,,3637.0,1279844.0,,,
2017-08-09,353.75,355.2,350.2,353.95,,3855.0,1357279.0,,,
2017-08-08,356.0,358.35,351.1,355.35,,4119.0,1461401.0,,,
2017-08-07,352.05,356.8,349.15,356.15,,5194.0,1836102.0,,,
2017-08-04,358.5,359.0,351.95,353.15,,12287.0,4358998.0,,,
2017-08-03,349.85,356.8,346.2,355.1,,8739.0,3076645.0,,,
2017-08-02,346.8,349.25,344.3,348.4,,4189.0,1455252.0,,,
2017-08-01,340.0,345.0,339.45,343.55,,4057.0,1390462.0,,,
